Specimen	Municipality	Site	Habitat_Category	SVL_mm	Area_mm2	Lamellae_Count
KMW_002_RL	San Juan	Bosque San Patricio	forest	67	7.819	22
KMW_010_RR	San Juan	Bosque San Patricio	forest	68	6.85	23
KMW_011_RR	San Juan	Bosque San Patricio	forest	51	4.395	22
KMW_013_RR	San Juan	Bosque San Patricio	forest	68	8.62	22
KMW_017_RLb	San Juan	Bosque San Patricio	forest	71	7.771	24
KMW_018_RL	San Juan	Bosque San Patricio	forest	65	5.836	22
KMW_019_RL	San Juan	Bosque San Patricio	forest	67	7.485	23
KMW_020_RL	San Juan	Bosque San Patricio	forest	72	8.664	22
KMW_024_RR	San Juan	Bosque San Patricio	forest	70	7.39	24
KMW_027_R1	San Juan	Bosque San Patricio	forest	72	7.23	23
KMW_029_R1	San Juan	Bosque San Patricio	forest	61	5.09	22
KMW_035_R1	San Juan	Bosque San Patricio	forest	64	5.936	23
KMW_038_R1	San Juan	Bosque San Patricio	forest	71	8.112	21
KMW_045_R2	San Juan	Bosque San Patricio	forest	65	7.694	21
KMW_052_R2	San Juan	Bosque San Patricio	forest	73	8.084	23
KMW_055_R1	San Juan	Bosque San Patricio	forest	68	7.865	22
KMW_062_R2	San Juan	University Gardens	urban	64	7.485	22
KMW_063_R1a	San Juan	University Gardens	urban	65	6.978	21
KMW_067_R1	San Juan	University Gardens	urban	63	6.547	22
KMW_069_R1	San Juan	University Gardens	urban	72	11.503	22
KMW_072_R2	San Juan	University Gardens	urban	62	6.524	23
KMW_078_R2	San Juan	University Gardens	urban	70	6.827	23
KMW_079_R1	San Juan	University Gardens	urban	71	9.88	22
KMW_082_R1a	San Juan	University Gardens	urban	67	8.237	23
KMW_083_R1	San Juan	University Gardens	urban	59	5.648	22
KMW_084_R2	San Juan	University Gardens	urban	69	8.011	23
KMW_085_R1	San Juan	University Gardens	urban	63	8.049	24
KMW_087_R1	San Juan	University Gardens	urban	61	7.79	22
KMW_090_R2	San Juan	University Gardens	urban	72	9.837	21
KMW_094_R1b	San Juan	University Gardens	urban	60	5.395	21
