Specimen	Area_mm2
KMW_084_R2	6.051
KMW_251_R2b	5.343
KMW_257_R1	6.816
KMW_260_R2	7.417
KMW_299_R2	3.014
KMW_559_rear1	5.276
KMW_579_rear2	7.703
KMW_869_R1b	2.107
KMW_976_003	5.93
KMW_978_005	2.909
KMW_989_017	3.504
KMW_994_018	4.465
KMW_999_020	5.917
KMW_1004_025	6.286
KMW_1005_026	4.288
KMW_1008_040	4.829
KMW_1010_042	6.436
KMW_1024_008	6.204
KMW_1031_014	4.217
KMW_1034_018	5.276
KMW_1041_027	3.303
KMW_1052_042	4.083
KMW_1054_051	2.579
KMW_1058_048	4.821
KMW_1061_056	1.73
KMW_1063_062	4.674
KMW_1078_006	4.202
KMW_1084_156	5.961
KMW_1086_012_flip	5.476
KMW_1090_014	5.435
KMW_1094_021	5.191
KMW_1095_020	5.919
KMW_1097_022	5.78
KMW_1106_035	5.26
KMW_1110_039	4.383
KMW_1120_048	2.897
KMW_1134_063	4.085
KMW_1135_064	4.379
KMW_1137_066	4.542
KMW_1138_068	3.98
KMW_1139_069	3.019
KMW_1140_071	4.241
KMW_1141_072	4.671
KMW_1142_074	3.443
KMW_1144_076	4.788
KMW_1145_077	3.598
KMW_1146_078	3.503
KMW_1147_079	4.491
KMW_1148_080	4.657
KMW_1149_081	3.127
KMW_1150_082	5.509
KMW_1151_084	4.733
KMW_1152_087	3.082
KMW_1153_088	3.061
KMW_1154_092	4.09
KMW_1156_095 rotated	3.963
KMW_1157_096	4.366
KMW_1158_097	5.206
KMW_1161_100	3.652
KMW_1162_101	3.477
KMW_1165_105	4.352
KMW_1166_106	3.587
KMW_1168_111	4.568
KMW_1170_112	4.674
KMW_1184_126	6.078
KMW_1197_148	4.03
